City,Latitude,Longitude,Population,Land Area,Water Area
"Paris, KY, USA",38.206348,-84.270172,10171,7.95,0.05
"Owensboro, KY, USA",37.760586,-87.127686,60183,20.65,1.45
"Newport, KY, USA",39.08897,-84.500786,14150,2.75,0.26
"Middlesboro, KY, USA",36.616894,-83.739494,9405,7.38,0.08
"Mayfield, KY, USA",36.739876,-88.646523,10017,7.35,0.03
"Hodgenville, KY, USA",37.569702,-85.743095,3235,2.18,0.01
"Hazard, KY, USA",37.250626,-83.195503,5263,7.45,0.15
"Harrodsburg, KY, USA",37.76627,-84.852119,9064,6.92,0.02
"Harlan, KY, USA",36.843681,-83.324593,1776,1.30,0.03
"Frankfort, KY, USA",38.192902,-84.883942,28602,14.77,0.30
"Elizabethtown, KY, USA",37.703224,-85.871674,31394,27.50,0.49
"Covington, KY, USA",39.067719,-84.516426,40961,13.20,0.56
"Campbellsville, KY, USA",37.344158,-85.346436,11426,7.54,0.13
"Bowling Green, KY, USA",36.976524,-86.456017,72294,40.39,0.26
"Berea, KY, USA",37.569199,-84.299782,15539,16.51,0.07
"Bardstown, KY, USA",37.820415,-85.467949,13567,12.11,0.08
"Barbourville, KY, USA",36.869038,-83.892479,3222,2.65,0.06
"Ashland, KY, USA",38.460304,-82.649666,21625,10.73,0.03
"Smith Center, KS, USA",39.779823,-98.787064,1571,1.28,0.00
"Salina, KS, USA",38.826633,-97.616257,46889,25.70,0.03
"Pittsburg, KS, USA",37.406769,-94.705528,20646,13.06,0.10
"Ottawa, KS, USA",38.604465,-95.271301,12625,10.31,0.09
"Osawatomie, KS, USA",38.497746,-94.960602,4255,5.25,0.09
"Newton, KS, USA",38.047016,-97.350304,18602,14.57,0.00
"Leavenworth, KS, USA",39.313015,-94.941147,37351,24.24,0.06
"Lawrence, KS, USA",38.960213,-95.27739,94934,34.14,0.83
"Junction City, KS, USA",39.026646,-96.852814,22932,11.11,0.10
"Hays, KS, USA",38.88509,-99.326202,21116,8.48,0.00
"Great Bend, KS, USA",38.364895,-98.7743,14733,10.50,0.13
"Fort Scott, KS, USA",37.838108,-94.710022,7552,5.59,0.04
"Emporia, KS, USA",38.405903,-96.188339,24139,12.00,0.11
"Dodge City, KS, USA",37.753098,-100.024872,27788,14.66,0.10
"Council Grove, KS, USA",38.661697,-96.492599,2140,2.04,0.01
"Chanute, KS, USA",37.679878,-95.459778,8722,7.10,0.12
"Atchison, KS, USA",39.563606,-95.125549,10885,8.01,0.46
"West Des Moines, IA, USA",41.57983,-93.791328,68723,47.24,0.98
"Webster City, IA, USA",42.464397,-93.829056,7825,8.89,0.01
"Waterloo, IA, USA",42.499504,-92.358665,67314,61.59,1.84
"Sioux City, IA, USA",42.495132,-96.40007,85797,58.46,1.165
"Ottumwa, IA, USA",41.016621,-92.43055,25529,16.06,0.67
"Oskaloosa, IA, USA",41.299023,-92.653198,25529,16.06,0.67
"Newton, IA, USA",41.703957,-93.054817,15760,11.34,0.00
"Mount Pleasant, IA, USA",40.969242,-91.55542,9274,8.63,0.01
"Keokuk, IA, USA",40.407204,-91.410805,9900,9.10,1.45
"Grinnell, IA, USA",41.746952,-92.729362,9564,5.69,0.04
"Fort Dodge, IA, USA",42.512745,-94.188148,24871,16.01,0.27
"Estherville, IA, USA",43.4035,-94.843323,5904,5.39,0.00
"Dubuque, IA, USA",42.516033,-90.718506,5904,5.39,0.00
"Council Bluffs, IA, USA",41.250854,-95.882042,62799,42.96,2.71
"Clinton, IA, USA",41.827965,-90.249619,24469,35.60,2.86
"Cherokee, IA, USA",42.754681,-95.557831,5199,6.83,0.02
"Charles City, IA, USA",43.066807,-92.683464,7396,6.12,0.09
"Burlington, IA, USA",40.810947,-91.131844,7396,6.12,0.09
"Boone, IA, USA",42.06065,-93.88549,12460,9.08,0.00
"Wabash, IN, USA",40.800262,-85.830887,10440,9.64,0.24
"Vincennes, IN, USA",38.678299,-87.522491,16759,7.41,0.07
"Valparaiso, IN, USA",41.483845,-87.063965,34151,16.39,0.05
"Terre Haute, IN, USA",39.472298,-87.401917,58389,34.77,0.39
"Shelbyville, IN, USA",39.524483,-85.786476,20067,12.55,
"Richmond, IN, USA",39.828354,-84.894196,35720,24.00,0.15
"Plymouth, IN, USA",41.345619,-86.316971,10214,7.57,0.05
"Peru, IN, USA",40.754417,-86.071426,11073,5.51,0.14
"New Castle, IN, USA",39.924065,-85.379021,17396,7.32,0.02
"New Albany, IN, USA",38.313908,-85.835434,37841,15.47,0.17
"Mishawaka, IN, USA",41.66853,-86.173042,51063,17.90,0.35
"Marion, IN, USA",40.55648,-85.68277,28310,15.68,0.08
"Kokomo, IN, USA",40.481205,-86.141815,45468,36.68,0.11
"Jeffersonville, IN, USA",38.279888,-85.740524,49447,34.08,0.28
"Greenfield, IN, USA",39.790737,-85.782951,23488,13.56,0.15
"Goshen, IN, USA",41.582092,-85.842979,34517,17.57,0.38
"Elwood, IN, USA",40.279053,-85.844749,8410,3.97,0.00
"East Chicago, IN, USA",41.649212,-87.472565,26370,14.18,
"Crawfordsville, IN, USA",40.044075,-86.911057,16306,9.70,0.00
"Connersville, IN, USA",39.653687,-85.147896,16306,9.70,0.00
"Bloomington, IN, USA",39.168804,-86.536659,79168,23.25,
"Bedford, IN, USA",38.866512,-86.511833,13792,12.21,0.00
"Zion, IL, USA",42.450806,-87.845978,24655,9.93,0.00
"Wood River, IL, USA",38.864758,-90.102638,10464,6.97,0.25
"Wheaton, IL, USA",41.860985,-88.124168,53970,11.32,0.17
"Waukegan, IL, USA",42.365627,-87.872139,89321,24.22,
"Virden, IL, USA",39.501575,-89.772629,3231,1.89,0.00
"Vandalia, IL, USA",38.970127,-89.115585,7458,8.15,0.02
"Urbana, IL, USA",40.113159,-88.211105,38336,11.83,0.07
"Streator, IL, USA",41.13052,-88.844597,12500,7.31,0.07
"Shawneetown, IL, USA",37.717564,-88.18988,1054,0.73,0.01
"Rock Island, IL, USA",41.487076,-90.589691,37108,16.87,0.20
"Quincy, IL, USA",39.93549,-91.408241,39463,15.77,0.04
"Pontiac, IL, USA",40.880894,-88.642799,11150,8.40,0.25
"Petersburg, IL, USA",40.014156,-89.855278,2258,1.56,0.00
"Park Ridge, IL, USA",42.017452,-87.861786,39656,7.09,0.05
"Ottawa, IL, USA",41.345505,-88.848846,18840,14.66,0.86
"North Chicago, IL, USA",42.326439,-87.851089,30759,8.00,0.02
"Nauvoo, IL, USA",40.54789,-91.390503,950,3.39,1.44
"Mount Vernon, IL, USA",38.319221,-88.925255,14600,14.58,0.08
"Monmouth, IL, USA",40.915249,-90.654694,8902,4.24,0.02
"Mattoon, IL, USA",39.485355,-88.390404,16870,10.31,0.00
"Macomb, IL, USA",40.458427,-90.677963,16870,10.31,0.00
"Lake Forest, IL, USA",42.245686,-87.867012,19367,17.20,0.07
"La Salle, IL, USA",41.362553,-89.065414,9582,13.46,0.12
"Kewanee, IL, USA",41.243195,-89.93824,9582,13.46,0.12
"Kankakee, IL, USA",41.123634,-87.872742,24052,15.14,0.48
"Herrin, IL, USA",37.805065,-89.038292,12352,9.67,0.24
"Harrisburg, IL, USA",37.736668,-88.559456,8219,6.61,0.20
"Galena, IL, USA",42.420296,-90.4356,3308,4.50,0.01
"Freeport, IL, USA",42.289551,-89.647018,23973,11.88,0.01
"East Saint Louis, IL, USA",38.616405,-90.159821,18469,13.92,0.38
"East Moline, IL, USA",41.511295,-90.460213,21374,14.60,0.00
"Dixon, IL, USA",41.845261,-89.491661,21374,14.60,0.00
"DeKalb, IL, USA",41.93037,-88.757355,40290,16.95,0.17
"Danville, IL, USA",40.144653,-87.634216,29204,17.86,0.13
"Collinsville, IL, USA",38.675953,-90.003471,24366,15.08,0.19
"Chicago Heights, IL, USA",41.510395,-87.644287,27480,10.28,0.01
"Chester, IL, USA",37.915825,-89.829262,6814,5.81,0.02
"Arkansas City, KS, USA",37.069611,-97.05072,11974,9.32,0.02
"Charleston, IL, USA",39.491936,-88.185867,17286,8.88,0.70
"Centralia, IL, USA",38.530453,-89.141502,12182,8.20,1.03
"Carthage, IL, USA",40.41478,-91.141708,2490,2.50,0.00
"Carlinville, IL, USA",39.28056,-89.890327,5710,3.37,0.00
"Canton, IL, USA",40.560329,-90.046028,13242,7.86,0.16
"Calumet City, IL, USA",41.611603,-87.551186,36033,7.20,0.12
"Cairo, IL, USA",37.007828,-89.184265,1733,6.99,2.12
"Bloomington, IL, USA",40.478821,-88.992706,78680,27.12,0.12
"Belvidere, IL, USA",42.259529,-88.865211,25339,12.14,0.24
"Alton, IL, USA",38.908852,-90.169662,25676,15.67,1.28
"Sun Valley, ID, USA",43.697662,-114.352829,25676,15.67,1.28
"Rexburg, ID, USA",43.825386,-111.792824,39409,10.01,0.09
"Pocatello, ID, USA",42.880363,-112.452911,54255,33.24,0.16
"Lewiston, ID, USA",46.392014,-117.010826,34203,17.30,0.81
"Kellogg, ID, USA",47.538658,-116.129227,2120,3.97,0.04
"Coeur d’Alene, ID, USA",47.702465,-116.796883,55904,16.06,0.76
"Caldwell, ID, USA",43.661766,-116.691559,46237,22.61,0.06
"Bonners Ferry, ID, USA",48.692551,-116.319862,46237,22.61,0.06
"Blackfoot, ID, USA",43.195194,-112.35453,11907,5.92,0.28
"Washington, GA, USA",33.740253,-82.745857,3754,7.70,0.05
"Warner Robins, GA, USA",32.615692,-83.633667,80308,37.78,0.32
"Toccoa, GA, USA",34.578903,-83.331581,9133,9.16,0.07
"Plains, GA, USA",32.033638,-84.398224,573,0.81,0.00
"Gainesville, GA, USA",34.298409,-83.832855,42296,33.42,1.95
"Fort Valley, GA, USA",32.559334,-83.904587,8780,7.54,0.01
"Fitzgerald, GA, USA",31.717707,-83.262657,9006,8.98,0.15
"Douglas, GA, USA",31.504131,-82.86779,11722,14.44,0.24
"Darien, GA, USA",31.375116,-81.436729,11722,14.44,0.24
"Dalton, GA, USA",34.775517,-84.986244,11722,14.44,0.24
"Carrollton, GA, USA",33.584045,-85.10112,26738,22.49,0.56
"Brunswick, GA, USA",31.164404,-81.5056,15210,17.02,8.07
"Blairsville, GA, USA",34.878166,-83.961349,616,1.11,0.01
"Bainbridge, GA, USA",30.903612,-84.585205,14468,19.78,1.23
"Americus, GA, USA",32.072433,-84.233978,16230,11.35,0.22
"Winter Park, FL, USA",28.598797,-81.358315,29795,8.76,1.62
"Venice, FL, USA",27.109644,-82.448792,25463,16.13,1.65
"Sebring, FL, USA",27.479319,-81.456017,10729,10.59,5.85
"Saint Augustine, FL, USA",29.908072,-81.324791,14329,9.52,3.33
"New Smyrna Beach, FL, USA",29.036013,-80.964966,30142,37.79,3.49
